Prestige,Ticks,CityCount,TotalBuildingLevels,UniqueBuildings,PrestigePointsGenerated,PrestigeVerticesPurchased,ResearchCompleted,AchievementsUnlocked
1,179150,12,193,1,39,2,0,3
2,713300,24,709,1,96,4,4,3
