Prestige,Ticks,CityCount,TotalBuildingLevels,UniqueBuildings,PrestigePointsGenerated,PrestigeVerticesPurchased,ResearchCompleted,AchievementsUnlocked
1,173200,12,181,1,39,2,0,3
2,768100,24,685,1,96,4,5,3
3,1355900,29,960,1,739,10,7,4
